Seq. ID.	Class	AMP Probability
LENGTH_5_SEQ_79	AMP	0.53
LENGTH_5_SEQ_80	AMP	0.97
LENGTH_5_SEQ_81	AMP	0.72
LENGTH_5_SEQ_82	NAMP	0.22
LENGTH_5_SEQ_83	NAMP	0.24
LENGTH_5_SEQ_84	AMP	0.51
LENGTH_5_SEQ_85	NAMP	0.34
LENGTH_5_SEQ_86	AMP	0.90
LENGTH_5_SEQ_87	NAMP	0.45
LENGTH_5_SEQ_88	AMP	0.59
LENGTH_5_SEQ_89	AMP	0.62
LENGTH_5_SEQ_90	NAMP	0.26
LENGTH_5_SEQ_91	NAMP	0.29
LENGTH_5_SEQ_92	NAMP	0.11
LENGTH_5_SEQ_93	NAMP	0.41
LENGTH_5_SEQ_94	NAMP	0.34
LENGTH_5_SEQ_95	NAMP	0.15
LENGTH_5_SEQ_96	NAMP	0.30
LENGTH_5_SEQ_97	NAMP	0.21
LENGTH_5_SEQ_98	NAMP	0.23
LENGTH_5_SEQ_99	NAMP	0.41
LENGTH_5_SEQ_100	AMP	0.80
LENGTH_5_SEQ_101	NAMP	0.49
LENGTH_5_SEQ_102	AMP	0.80
LENGTH_5_SEQ_103	AMP	0.52
LENGTH_5_SEQ_104	NAMP	0.44
LENGTH_5_SEQ_105	AMP	0.81
LENGTH_5_SEQ_106	NAMP	0.43
LENGTH_5_SEQ_107	AMP	0.91
LENGTH_5_SEQ_108	AMP	0.62
LENGTH_5_SEQ_109	NAMP	0.24
LENGTH_5_SEQ_110	AMP	0.60
LENGTH_5_SEQ_111	NAMP	0.31
LENGTH_5_SEQ_112	NAMP	0.29
LENGTH_5_SEQ_113	AMP	0.95
LENGTH_5_SEQ_114	AMP	0.59
LENGTH_5_SEQ_115	AMP	0.54
LENGTH_5_SEQ_116	NAMP	0.32
LENGTH_5_SEQ_117	AMP	0.65
LENGTH_5_SEQ_118	NAMP	0.40
LENGTH_5_SEQ_119	NAMP	0.43
LENGTH_5_SEQ_120	AMP	0.57
LENGTH_5_SEQ_121	NAMP	0.37
LENGTH_5_SEQ_122	AMP	0.70
LENGTH_5_SEQ_123	AMP	0.77
LENGTH_5_SEQ_124	NAMP	0.26
LENGTH_5_SEQ_125	AMP	0.96
LENGTH_5_SEQ_126	NAMP	0.18
LENGTH_5_SEQ_127	NAMP	0.10
LENGTH_5_SEQ_128	AMP	0.54
LENGTH_5_SEQ_129	AMP	0.81
LENGTH_5_SEQ_130	NAMP	0.21
LENGTH_5_SEQ_131	AMP	0.55
LENGTH_5_SEQ_132	AMP	0.71
LENGTH_5_SEQ_133	NAMP	0.32
LENGTH_5_SEQ_134	NAMP	0.41
LENGTH_5_SEQ_135	NAMP	0.08
LENGTH_5_SEQ_136	AMP	0.69
LENGTH_5_SEQ_137	NAMP	0.29
LENGTH_5_SEQ_138	AMP	0.96
LENGTH_5_SEQ_139	AMP	0.62
LENGTH_5_SEQ_140	NAMP	0.27
LENGTH_5_SEQ_141	NAMP	0.42
LENGTH_5_SEQ_142	NAMP	0.25
LENGTH_5_SEQ_143	AMP	0.81
LENGTH_5_SEQ_144	NAMP	0.23
LENGTH_5_SEQ_145	NAMP	0.44
LENGTH_5_SEQ_146	NAMP	0.21
LENGTH_5_SEQ_147	AMP	0.60
LENGTH_5_SEQ_148	AMP	0.57
LENGTH_5_SEQ_149	NAMP	0.30
LENGTH_5_SEQ_150	AMP	0.92
LENGTH_5_SEQ_151	AMP	0.50
LENGTH_5_SEQ_152	AMP	0.73
LENGTH_5_SEQ_153	NAMP	0.41
LENGTH_5_SEQ_154	AMP	0.57
LENGTH_5_SEQ_155	AMP	0.86
LENGTH_5_SEQ_156	AMP	0.61
LENGTH_5_SEQ_157	AMP	0.80
LENGTH_5_SEQ_158	AMP	0.73
LENGTH_5_SEQ_159	AMP	0.74
LENGTH_5_SEQ_160	NAMP	0.11
LENGTH_5_SEQ_161	NAMP	0.18
LENGTH_5_SEQ_162	NAMP	0.37
LENGTH_5_SEQ_163	AMP	0.54
LENGTH_5_SEQ_164	NAMP	0.12
LENGTH_5_SEQ_165	AMP	0.52
LENGTH_5_SEQ_166	AMP	0.86
LENGTH_5_SEQ_167	AMP	0.60
LENGTH_5_SEQ_168	NAMP	0.35
LENGTH_5_SEQ_169	NAMP	0.12
LENGTH_5_SEQ_170	NAMP	0.33
LENGTH_5_SEQ_171	NAMP	0.42
LENGTH_5_SEQ_172	AMP	0.70
LENGTH_5_SEQ_173	AMP	0.81
LENGTH_5_SEQ_174	AMP	0.73
LENGTH_5_SEQ_175	AMP	0.54
LENGTH_5_SEQ_176	NAMP	0.22
LENGTH_5_SEQ_177	NAMP	0.43
LENGTH_5_SEQ_178	NAMP	0.37
LENGTH_5_SEQ_179	NAMP	0.31
LENGTH_5_SEQ_180	NAMP	0.46
LENGTH_5_SEQ_181	NAMP	0.32
LENGTH_5_SEQ_182	AMP	0.55
LENGTH_5_SEQ_183	AMP	0.65
LENGTH_5_SEQ_184	NAMP	0.21
LENGTH_5_SEQ_185	AMP	0.91
LENGTH_5_SEQ_186	AMP	0.61
LENGTH_5_SEQ_187	NAMP	0.23
LENGTH_5_SEQ_188	AMP	0.57
LENGTH_5_SEQ_189	NAMP	0.42
LENGTH_5_SEQ_190	NAMP	0.08
LENGTH_5_SEQ_191	NAMP	0.23
LENGTH_5_SEQ_192	NAMP	0.14
LENGTH_5_SEQ_193	AMP	0.57
LENGTH_5_SEQ_194	AMP	0.52
LENGTH_5_SEQ_195	AMP	0.92
LENGTH_5_SEQ_196	NAMP	0.27
LENGTH_5_SEQ_197	NAMP	0.18
LENGTH_5_SEQ_198	NAMP	0.19
LENGTH_5_SEQ_199	AMP	0.87
LENGTH_5_SEQ_200	AMP	0.59
LENGTH_5_SEQ_201	NAMP	0.18
LENGTH_5_SEQ_202	NAMP	0.34
LENGTH_5_SEQ_203	NAMP	0.43
LENGTH_5_SEQ_204	NAMP	0.22
LENGTH_5_SEQ_205	NAMP	0.37
LENGTH_5_SEQ_206	NAMP	0.16
LENGTH_5_SEQ_207	AMP	0.58
LENGTH_5_SEQ_208	NAMP	0.21
LENGTH_5_SEQ_209	NAMP	0.42
LENGTH_5_SEQ_210	AMP	0.66
LENGTH_5_SEQ_211	NAMP	0.15
LENGTH_5_SEQ_212	NAMP	0.26
LENGTH_5_SEQ_213	NAMP	0.39
LENGTH_5_SEQ_214	AMP	0.77
LENGTH_5_SEQ_215	NAMP	0.09
LENGTH_5_SEQ_216	AMP	0.65
LENGTH_5_SEQ_217	AMP	0.75
LENGTH_5_SEQ_218	NAMP	0.26
LENGTH_5_SEQ_219	AMP	0.95
LENGTH_5_SEQ_220	AMP	0.57
LENGTH_5_SEQ_221	AMP	0.98
LENGTH_5_SEQ_222	AMP	0.72
LENGTH_5_SEQ_223	AMP	0.80
LENGTH_5_SEQ_224	NAMP	0.16
LENGTH_5_SEQ_225	NAMP	0.38
LENGTH_5_SEQ_226	AMP	0.51
LENGTH_5_SEQ_227	NAMP	0.27
LENGTH_5_SEQ_228	AMP	0.71
LENGTH_5_SEQ_229	AMP	0.90
LENGTH_5_SEQ_230	NAMP	0.21
LENGTH_5_SEQ_231	NAMP	0.15
LENGTH_5_SEQ_232	NAMP	0.11
LENGTH_5_SEQ_233	AMP	0.78
LENGTH_5_SEQ_234	AMP	0.90
LENGTH_5_SEQ_235	NAMP	0.30
LENGTH_5_SEQ_236	NAMP	0.23
LENGTH_5_SEQ_237	NAMP	0.45
LENGTH_5_SEQ_238	AMP	0.65
LENGTH_5_SEQ_239	NAMP	0.45
LENGTH_5_SEQ_240	NAMP	0.48
LENGTH_5_SEQ_241	AMP	0.77
LENGTH_5_SEQ_242	AMP	0.59
LENGTH_5_SEQ_243	AMP	0.75
LENGTH_5_SEQ_244	AMP	0.66
LENGTH_5_SEQ_245	AMP	0.82
LENGTH_5_SEQ_246	NAMP	0.21
LENGTH_5_SEQ_247	AMP	0.81
LENGTH_5_SEQ_248	AMP	0.96
LENGTH_5_SEQ_249	AMP	0.74
LENGTH_5_SEQ_250	NAMP	0.24
LENGTH_5_SEQ_251	AMP	0.77
LENGTH_5_SEQ_252	AMP	0.90
LENGTH_5_SEQ_253	AMP	0.70
LENGTH_5_SEQ_254	NAMP	0.29
LENGTH_5_SEQ_255	AMP	0.76
LENGTH_5_SEQ_256	NAMP	0.13
LENGTH_5_SEQ_257	AMP	0.67
LENGTH_5_SEQ_258	NAMP	0.30
LENGTH_5_SEQ_259	NAMP	0.24
LENGTH_5_SEQ_260	NAMP	0.28
LENGTH_5_SEQ_261	NAMP	0.41
LENGTH_5_SEQ_262	NAMP	0.43
LENGTH_5_SEQ_263	NAMP	0.16
LENGTH_5_SEQ_264	AMP	0.89
LENGTH_5_SEQ_265	AMP	0.80
LENGTH_5_SEQ_266	AMP	0.63
LENGTH_5_SEQ_267	NAMP	0.35
LENGTH_5_SEQ_268	NAMP	0.25
LENGTH_5_SEQ_269	AMP	0.56
LENGTH_5_SEQ_270	NAMP	0.13
LENGTH_5_SEQ_271	NAMP	0.49
LENGTH_5_SEQ_272	AMP	0.95
LENGTH_5_SEQ_273	NAMP	0.30
LENGTH_5_SEQ_274	AMP	0.97
LENGTH_5_SEQ_275	NAMP	0.11
LENGTH_5_SEQ_276	AMP	0.53
LENGTH_5_SEQ_277	NAMP	0.26
LENGTH_5_SEQ_278	AMP	0.51
LENGTH_5_SEQ_279	AMP	0.83
LENGTH_5_SEQ_280	AMP	0.82
LENGTH_5_SEQ_281	NAMP	0.29
LENGTH_5_SEQ_282	NAMP	0.21
LENGTH_5_SEQ_283	NAMP	0.34
LENGTH_5_SEQ_284	AMP	0.53
LENGTH_5_SEQ_285	NAMP	0.32
LENGTH_5_SEQ_286	NAMP	0.49
LENGTH_5_SEQ_287	NAMP	0.16
LENGTH_5_SEQ_288	AMP	0.51
LENGTH_5_SEQ_289	NAMP	0.43
LENGTH_5_SEQ_290	NAMP	0.17
LENGTH_5_SEQ_291	AMP	0.59
LENGTH_5_SEQ_292	NAMP	0.29
LENGTH_5_SEQ_293	AMP	0.84
LENGTH_5_SEQ_294	NAMP	0.44
LENGTH_5_SEQ_295	AMP	0.63
LENGTH_5_SEQ_296	AMP	0.82
LENGTH_5_SEQ_297	NAMP	0.29
LENGTH_5_SEQ_298	NAMP	0.36
LENGTH_5_SEQ_299	AMP	0.62
LENGTH_5_SEQ_300	NAMP	0.41
LENGTH_5_SEQ_301	AMP	0.54
LENGTH_5_SEQ_302	NAMP	0.12
LENGTH_5_SEQ_303	NAMP	0.37
LENGTH_5_SEQ_304	AMP	0.58
LENGTH_5_SEQ_305	AMP	0.51
LENGTH_5_SEQ_306	AMP	0.98
LENGTH_5_SEQ_307	AMP	0.61
LENGTH_5_SEQ_308	AMP	0.51
LENGTH_5_SEQ_309	AMP	0.94
LENGTH_5_SEQ_310	NAMP	0.33
LENGTH_5_SEQ_311	AMP	0.57
LENGTH_5_SEQ_312	AMP	0.96
LENGTH_5_SEQ_313	NAMP	0.19
LENGTH_5_SEQ_314	NAMP	0.16
LENGTH_5_SEQ_315	NAMP	0.17
LENGTH_5_SEQ_316	NAMP	0.26
LENGTH_5_SEQ_317	NAMP	0.23
LENGTH_5_SEQ_318	AMP	0.68
LENGTH_5_SEQ_319	NAMP	0.40
LENGTH_5_SEQ_320	NAMP	0.26
LENGTH_5_SEQ_321	AMP	0.60
LENGTH_5_SEQ_322	NAMP	0.32
LENGTH_5_SEQ_323	NAMP	0.37
LENGTH_5_SEQ_324	AMP	0.83
LENGTH_5_SEQ_325	AMP	0.60
LENGTH_5_SEQ_326	NAMP	0.10
LENGTH_5_SEQ_327	NAMP	0.28
LENGTH_5_SEQ_328	NAMP	0.38
LENGTH_5_SEQ_329	NAMP	0.45
LENGTH_5_SEQ_330	NAMP	0.13
LENGTH_5_SEQ_331	AMP	0.50
LENGTH_5_SEQ_332	NAMP	0.38
LENGTH_5_SEQ_333	AMP	0.68
LENGTH_5_SEQ_334	AMP	0.66
LENGTH_5_SEQ_335	NAMP	0.41
LENGTH_5_SEQ_336	NAMP	0.43
LENGTH_5_SEQ_337	NAMP	0.37
LENGTH_5_SEQ_338	NAMP	0.44
LENGTH_5_SEQ_339	AMP	0.67
LENGTH_5_SEQ_340	AMP	0.70
LENGTH_5_SEQ_341	AMP	0.90
LENGTH_5_SEQ_342	NAMP	0.39
LENGTH_5_SEQ_343	NAMP	0.25
LENGTH_5_SEQ_344	NAMP	0.48
LENGTH_5_SEQ_345	AMP	0.58
LENGTH_5_SEQ_346	NAMP	0.44
LENGTH_5_SEQ_347	AMP	0.73
LENGTH_5_SEQ_348	AMP	0.71
LENGTH_5_SEQ_349	NAMP	0.13
LENGTH_5_SEQ_350	AMP	0.50
LENGTH_5_SEQ_351	AMP	0.90
LENGTH_5_SEQ_352	AMP	0.53
LENGTH_5_SEQ_353	AMP	0.76
LENGTH_5_SEQ_354	NAMP	0.33
LENGTH_5_SEQ_355	NAMP	0.13
LENGTH_5_SEQ_356	AMP	0.95
LENGTH_5_SEQ_357	AMP	0.51
LENGTH_5_SEQ_358	AMP	0.75
LENGTH_5_SEQ_359	AMP	0.61
LENGTH_5_SEQ_360	NAMP	0.24
LENGTH_5_SEQ_361	AMP	0.51
LENGTH_5_SEQ_362	NAMP	0.16
LENGTH_5_SEQ_363	AMP	0.75
LENGTH_5_SEQ_364	NAMP	0.17
LENGTH_5_SEQ_365	NAMP	0.41
LENGTH_5_SEQ_366	AMP	0.73
LENGTH_5_SEQ_367	NAMP	0.30
LENGTH_5_SEQ_368	NAMP	0.19
LENGTH_5_SEQ_369	NAMP	0.15
LENGTH_5_SEQ_370	NAMP	0.39
LENGTH_5_SEQ_371	NAMP	0.44
LENGTH_5_SEQ_372	NAMP	0.42
LENGTH_5_SEQ_373	NAMP	0.37
LENGTH_5_SEQ_374	NAMP	0.44
LENGTH_5_SEQ_375	NAMP	0.32
LENGTH_5_SEQ_376	NAMP	0.29
LENGTH_5_SEQ_377	AMP	0.58
LENGTH_5_SEQ_378	AMP	0.52
LENGTH_5_SEQ_379	AMP	0.69
LENGTH_5_SEQ_380	NAMP	0.15
LENGTH_5_SEQ_381	AMP	0.62
LENGTH_5_SEQ_382	NAMP	0.23
LENGTH_5_SEQ_383	NAMP	0.13
LENGTH_5_SEQ_384	AMP	0.50
LENGTH_5_SEQ_385	NAMP	0.23
LENGTH_5_SEQ_386	AMP	0.94
LENGTH_5_SEQ_387	NAMP	0.25
LENGTH_5_SEQ_388	AMP	0.75
LENGTH_5_SEQ_389	AMP	0.56
LENGTH_5_SEQ_390	AMP	0.74
LENGTH_5_SEQ_391	NAMP	0.17
LENGTH_5_SEQ_392	NAMP	0.11
LENGTH_5_SEQ_393	NAMP	0.43
LENGTH_5_SEQ_394	AMP	0.98
LENGTH_5_SEQ_395	NAMP	0.35
LENGTH_5_SEQ_396	AMP	0.56
LENGTH_5_SEQ_397	AMP	0.69
LENGTH_5_SEQ_398	NAMP	0.37
LENGTH_5_SEQ_399	NAMP	0.32
LENGTH_5_SEQ_400	NAMP	0.35
LENGTH_5_SEQ_401	AMP	0.65
LENGTH_5_SEQ_402	NAMP	0.20
LENGTH_5_SEQ_403	AMP	0.53
LENGTH_5_SEQ_404	NAMP	0.22
LENGTH_5_SEQ_405	NAMP	0.36
LENGTH_5_SEQ_406	AMP	0.62
LENGTH_5_SEQ_407	NAMP	0.23
LENGTH_5_SEQ_408	AMP	0.72
LENGTH_5_SEQ_409	AMP	0.50
LENGTH_5_SEQ_410	AMP	0.60
LENGTH_5_SEQ_411	NAMP	0.16
LENGTH_5_SEQ_412	AMP	0.82
LENGTH_5_SEQ_413	AMP	0.66
LENGTH_5_SEQ_414	NAMP	0.37
LENGTH_5_SEQ_415	NAMP	0.15
LENGTH_5_SEQ_416	NAMP	0.47
LENGTH_5_SEQ_417	NAMP	0.37
LENGTH_5_SEQ_418	NAMP	0.27
LENGTH_5_SEQ_419	AMP	0.61
LENGTH_5_SEQ_420	NAMP	0.48
LENGTH_5_SEQ_421	AMP	0.60
LENGTH_5_SEQ_422	AMP	0.85
LENGTH_5_SEQ_423	NAMP	0.35
LENGTH_5_SEQ_424	AMP	0.77
LENGTH_5_SEQ_425	AMP	0.80
LENGTH_5_SEQ_426	NAMP	0.24
LENGTH_5_SEQ_427	AMP	0.78
LENGTH_5_SEQ_428	NAMP	0.48
LENGTH_5_SEQ_429	NAMP	0.43
LENGTH_5_SEQ_430	AMP	0.62
LENGTH_5_SEQ_431	AMP	0.63
LENGTH_5_SEQ_432	NAMP	0.32
LENGTH_5_SEQ_433	AMP	0.90
LENGTH_5_SEQ_434	AMP	0.65
LENGTH_5_SEQ_435	NAMP	0.17
LENGTH_5_SEQ_436	AMP	0.94
LENGTH_5_SEQ_437	NAMP	0.43
LENGTH_5_SEQ_438	AMP	0.66
LENGTH_5_SEQ_439	AMP	0.83
LENGTH_5_SEQ_440	AMP	0.93
LENGTH_5_SEQ_441	AMP	0.64
LENGTH_5_SEQ_442	NAMP	0.35
LENGTH_5_SEQ_443	NAMP	0.33
LENGTH_5_SEQ_444	AMP	0.57
LENGTH_5_SEQ_445	NAMP	0.26
LENGTH_5_SEQ_446	AMP	0.62
LENGTH_5_SEQ_447	NAMP	0.38
LENGTH_5_SEQ_448	AMP	0.90
LENGTH_5_SEQ_449	NAMP	0.34
LENGTH_5_SEQ_450	NAMP	0.48
LENGTH_5_SEQ_451	AMP	0.95
LENGTH_5_SEQ_452	AMP	0.60
LENGTH_5_SEQ_453	AMP	0.87
LENGTH_5_SEQ_454	AMP	0.56
LENGTH_5_SEQ_455	AMP	0.86
LENGTH_5_SEQ_456	AMP	0.66
LENGTH_5_SEQ_457	NAMP	0.47
LENGTH_5_SEQ_458	AMP	0.58
LENGTH_5_SEQ_459	NAMP	0.19
LENGTH_5_SEQ_460	NAMP	0.14
LENGTH_5_SEQ_461	AMP	0.54
LENGTH_5_SEQ_462	NAMP	0.27
LENGTH_5_SEQ_463	NAMP	0.30
LENGTH_5_SEQ_464	AMP	0.54
LENGTH_5_SEQ_465	NAMP	0.48
LENGTH_5_SEQ_466	NAMP	0.38
LENGTH_5_SEQ_467	NAMP	0.33
LENGTH_5_SEQ_468	NAMP	0.22
LENGTH_5_SEQ_469	AMP	0.54
LENGTH_5_SEQ_470	AMP	0.70
LENGTH_5_SEQ_471	AMP	0.75
LENGTH_5_SEQ_472	NAMP	0.40
LENGTH_5_SEQ_473	NAMP	0.37
LENGTH_5_SEQ_474	NAMP	0.14
LENGTH_5_SEQ_475	NAMP	0.21
LENGTH_5_SEQ_476	NAMP	0.12
LENGTH_5_SEQ_477	NAMP	0.49
LENGTH_5_SEQ_478	AMP	0.77
LENGTH_5_SEQ_479	AMP	0.82
LENGTH_5_SEQ_480	AMP	0.69
LENGTH_5_SEQ_481	NAMP	0.33
LENGTH_5_SEQ_482	AMP	0.61
LENGTH_5_SEQ_483	NAMP	0.48
LENGTH_5_SEQ_484	NAMP	0.24
LENGTH_5_SEQ_485	NAMP	0.33
LENGTH_5_SEQ_486	AMP	0.63
LENGTH_5_SEQ_487	AMP	0.67
LENGTH_5_SEQ_488	AMP	0.90
LENGTH_5_SEQ_489	AMP	0.69
LENGTH_5_SEQ_490	AMP	0.52
LENGTH_5_SEQ_491	NAMP	0.31
LENGTH_5_SEQ_492	NAMP	0.22
LENGTH_5_SEQ_493	NAMP	0.31
LENGTH_5_SEQ_494	AMP	0.64
LENGTH_5_SEQ_495	NAMP	0.20
LENGTH_5_SEQ_496	NAMP	0.17
LENGTH_5_SEQ_497	NAMP	0.30
LENGTH_5_SEQ_498	AMP	0.63
LENGTH_5_SEQ_499	AMP	0.69
LENGTH_5_SEQ_500	AMP	0.59
LENGTH_5_SEQ_501	AMP	0.97
LENGTH_5_SEQ_502	NAMP	0.13
LENGTH_5_SEQ_503	NAMP	0.25
LENGTH_5_SEQ_504	AMP	0.66
LENGTH_5_SEQ_505	AMP	0.64
LENGTH_5_SEQ_506	NAMP	0.46
LENGTH_5_SEQ_507	AMP	0.60
LENGTH_5_SEQ_508	AMP	0.86
LENGTH_5_SEQ_509	AMP	0.65
LENGTH_5_SEQ_510	AMP	0.62
LENGTH_5_SEQ_511	NAMP	0.11
LENGTH_5_SEQ_512	AMP	0.59
LENGTH_5_SEQ_513	AMP	0.65
LENGTH_5_SEQ_514	AMP	0.92
LENGTH_5_SEQ_515	NAMP	0.35
LENGTH_5_SEQ_516	AMP	0.95
LENGTH_5_SEQ_517	AMP	0.60
LENGTH_5_SEQ_518	AMP	0.57
LENGTH_5_SEQ_519	AMP	0.84
LENGTH_5_SEQ_520	AMP	0.56
LENGTH_5_SEQ_521	NAMP	0.24
LENGTH_5_SEQ_522	AMP	0.51
LENGTH_5_SEQ_523	NAMP	0.49
LENGTH_5_SEQ_524	AMP	0.50
LENGTH_5_SEQ_525	NAMP	0.35
LENGTH_5_SEQ_526	NAMP	0.15
LENGTH_5_SEQ_527	NAMP	0.25
LENGTH_5_SEQ_528	AMP	0.65
LENGTH_5_SEQ_529	AMP	0.90
LENGTH_5_SEQ_530	NAMP	0.37
LENGTH_5_SEQ_531	AMP	0.79
LENGTH_5_SEQ_532	AMP	0.51
LENGTH_5_SEQ_533	AMP	0.90
LENGTH_5_SEQ_534	AMP	0.57
LENGTH_5_SEQ_535	NAMP	0.12
LENGTH_5_SEQ_536	NAMP	0.43
LENGTH_5_SEQ_537	AMP	0.65
LENGTH_5_SEQ_538	NAMP	0.21
LENGTH_5_SEQ_539	AMP	0.76
LENGTH_5_SEQ_540	NAMP	0.21
LENGTH_5_SEQ_541	AMP	0.85
LENGTH_5_SEQ_542	AMP	0.69
LENGTH_5_SEQ_543	NAMP	0.25
LENGTH_5_SEQ_544	NAMP	0.12
LENGTH_5_SEQ_545	AMP	0.97
LENGTH_5_SEQ_546	AMP	0.76
LENGTH_5_SEQ_547	AMP	0.51
LENGTH_5_SEQ_548	AMP	0.59
LENGTH_5_SEQ_549	NAMP	0.41
LENGTH_5_SEQ_550	AMP	0.60
LENGTH_5_SEQ_551	AMP	0.88
LENGTH_5_SEQ_552	AMP	0.55
LENGTH_5_SEQ_553	AMP	0.87
LENGTH_5_SEQ_554	AMP	0.83
LENGTH_5_SEQ_555	NAMP	0.42
LENGTH_5_SEQ_556	AMP	0.83
LENGTH_5_SEQ_557	NAMP	0.47
LENGTH_5_SEQ_558	NAMP	0.34
LENGTH_5_SEQ_559	NAMP	0.16
LENGTH_5_SEQ_560	NAMP	0.16
LENGTH_5_SEQ_561	NAMP	0.45
LENGTH_5_SEQ_562	AMP	0.75
LENGTH_5_SEQ_563	AMP	0.82
LENGTH_5_SEQ_564	AMP	0.66
LENGTH_5_SEQ_565	AMP	0.69
LENGTH_5_SEQ_566	AMP	0.54
LENGTH_5_SEQ_567	AMP	0.53
LENGTH_5_SEQ_568	AMP	0.59
LENGTH_5_SEQ_569	NAMP	0.43
LENGTH_5_SEQ_570	NAMP	0.26
LENGTH_5_SEQ_571	AMP	0.67
LENGTH_5_SEQ_572	AMP	0.74
LENGTH_5_SEQ_573	AMP	0.74
LENGTH_5_SEQ_574	NAMP	0.47
LENGTH_5_SEQ_575	NAMP	0.47
LENGTH_5_SEQ_576	AMP	0.80
LENGTH_5_SEQ_577	AMP	0.58
LENGTH_5_SEQ_578	NAMP	0.44
LENGTH_5_SEQ_579	NAMP	0.37
LENGTH_5_SEQ_580	AMP	0.85
LENGTH_5_SEQ_581	NAMP	0.31
LENGTH_5_SEQ_582	NAMP	0.10
LENGTH_5_SEQ_583	NAMP	0.36
LENGTH_5_SEQ_584	AMP	0.91
LENGTH_5_SEQ_585	NAMP	0.26
LENGTH_5_SEQ_586	NAMP	0.37
LENGTH_5_SEQ_587	AMP	0.62
LENGTH_5_SEQ_588	NAMP	0.17
LENGTH_5_SEQ_589	AMP	0.91
LENGTH_5_SEQ_590	NAMP	0.26
LENGTH_5_SEQ_591	NAMP	0.17
LENGTH_5_SEQ_592	NAMP	0.49
LENGTH_5_SEQ_593	NAMP	0.49
LENGTH_5_SEQ_594	NAMP	0.11
